Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2021:2021-T:HM
0214:Vidigueira;16,35
1403:Almeirim;99,1
1404:Alpiarça;73,14
1103:Azambuja;81,55
1405:Benavente;56,98
1406:Cartaxo;146,59
1407:Chamusca;11,43
1409:Coruche;15,55
1412:Golegã;64,04
1414:Rio Maior;77,01
1415:Salvaterra de Magos;88,58
1416:Santarém;106,17
1201:Alter do Chão;8,41
1202:Arronches;8,86
1203:Avis;6,29
1204:Campo Maior;32,53
1205:Castelo de Vide;11,76
1206:Crato;8,1
1207:Elvas;32,84
1208:Fronteira;11,5
1209:Gavião;11,52
1210:Marvão;19,5
1211:Monforte;7,12
1212:Nisa;10,34
1213:Ponte de Sor;18,16
1214:Portalegre;49,96
1215:Sousel;15,61
0701:Alandroal;9,24
0702:Arraiolos;9,66
0703:Borba;44,27
0704:Estremoz;24,68
0705:Évora;40,99
0706:Montemor-o-Novo;12,81
0707:Mora;9,31
0708:Mourão;8,44
0709:Portel;9,56
0710:Redondo;17,01
0711:Reguengos de Monsaraz;21,27
0712:Vendas Novas;50,56
0713:Viana do Alentejo;13,51
0714:Vila Viçosa;37,91
0801:Albufeira;313,98
0802:Alcoutim;4,39
0803:Aljezur;18,69
0804:Castro Marim;21,4
0805:Faro;333,82
0806:Lagoa;268,84
0807:Lagos;157,26
0808:Loulé;94,72
0809:Monchique;13,82
0810:Olhão;340,93
0811:Portimão;328,71
0812:São Brás de Alportel;73,34
0813:Silves;55,53
0814:Tavira;45,34
0815:Vila do Bispo;31,93
0816:Vila Real de Santo António;307,33
2:Região Autónoma dos Açores;101,82
3:Região Autónoma da Madeira;313
